I'm looking for a place to stay . It needs to be a guesthouse and include free wifi . ||| Qed infittex post fejn noqgħod . Jeħtieġ li tkun guesthouse u tinkludi wifi b'xejn .
Can you check for moderate price range instead ? ||| Tista' tiċċekkja għal firxa ta' prezzijiet moderata minflok ?
The Acorn Guest House is moderately priced , in the north . They offer free wifi as well . Would you like me to book you a room ? ||| Il Guest House Acorn huwa bi prezz moderat , fit tramuntana . Huma joffru wifi b'xejn ukoll . Tixtieq nibbukkjalek kamra ?
Sure , I need it for 5 people and 4 nights from Wednesday . ||| Żgur , għandi bżonnha għal 5 persuni u 4 iljieli mill Erbgħa .
Booking was successful . Reference number is : FC2BDIC9 . ||| Il prenotazzjoni kienet suċċess . In numru ta' referenza huwa: FC2BDIC9 .
I also need a train on Wednesday , leaving from Kings Lynn . ||| Għandi bżonn ukoll ferrovija nhar l Erbgħa , li titlaq minn Kings Lynn .
When would you like to leave or arrive in Cambridge by ? ||| Sa meta tixtieq titlaq jew tasal Cambridge ?
Yes , I would like to arrive in Cambridge by 18:45 please . ||| Iva , nixtieq nasal Cambridge sas 18:45 jekk jogħġbok .
ok the TR3677 will get you there at 17:58 ||| ok it TR3677 jasal hemm f'17:58
thanks that's all i need ||| grazzi dak kollu li għandi bżonn
You're welcome , have a great day . ||| Int merħba , il ġurnata tajba .
Hi , I'm looking for some places to go in Cambridge . ||| Hi , qed infittex xi postijiet fejn immur f'Cambridge .
sure . do you know what you would like to do ? ||| żgur . taf x'tixtieq tagħmel ?
A park or swimming on the East side ||| Park jew għawm fuq in naħa tal Lvant
There is Cherry Hinton park and Abbey Pool and Astroturf Pitch . Would you like more information ? ||| Hemm Cherry Hinton park u Abbey Pool u Astroturf Pitch . Tixtieq aktar informazzjoni ?
What is the phone number for Abbey Pool and Astroturf Pitch ? ||| X'inhu n numru tat telefon għal Abbey Pool u Astroturf Pitch ?
The phone number is 01223902088 . Can I help with anything else ? ||| In numru tat telefon huwa 01223902088 . Nista' ngħin f'xi ħaġa oħra ?
Could you also tell me Abbey Pool's address ? ||| Tista' tgħidli wkoll l indirizz ta' Abbey Pool ?
The address is Pool Way , Whitehill Road , off Newmarket Road . Can I help you any further ? ||| L indirizz huwa Pool Way , Whitehill Road , barra Newmarket Road . Nista' ngħinek aktar ?
I would also like help finding a guesthouse . ||| Nixtieq ukoll għajnuna biex insib guesthouse .
what type of guest house are yo looking for ? ||| x'tip ta' guest house qed tfittex ?
I'd like to find a cheap 4 star place in the cheap price range please . ||| Nixtieq insib post irħis ta '4 stilel fil firxa ta' prezzijiet irħas jekk jogħġbok .
Which area would you like to stay in ? ||| F'liema żona tixtieq toqgħod ?
The area does not matter . Just whatever you think is best in that criteria . ||| Iż żona ma jimpurtax . Eżatt dak kollu li taħseb li huwa l aħjar f'dak il kriterji .
In that case , I would recommend the alexander bed and breakfast in the centre . ||| F'dak il każ , nirrakkomanda l bed and breakfast alexander fiċ ċentru .
Thank you ! Do they have free WiFi ? ||| Grazzi ! Għandhom WiFi b'xejn ?
Yes , they do . Would you like me to book a reservation for you ? ||| Iva , jagħmlu . Tixtieq li nibbukkja prenotazzjoni għalik ?
no , thanks . I just need their address and phone number ||| le grazzi . Għandi bżonn biss l indirizz u n numru tat telefon tagħhom
Sure thing . Their phone number is 01223525725 . The address is 56 saint barnabas road . Anything else I can do for you ? ||| Ħaġa żgur . In numru tat telefon tagħhom huwa 01223525725 . L indirizz huwa 56 saint Barnabas road . Xi ħaġa oħra li nista' nagħmel għalik ?
No , that will be all . Thank you ! ||| Le , dak se jkun kollu . Grazzi !
You're very welcome ! Take care ! ||| M'hemmx imniex ! Ħu ħsieb !
I need information on a restaurant called curry garden . ||| Għandi bżonn informazzjoni dwar ristorant imsejjaħ ġnien tal curry .
Curry Garden is an expensive Indian restaurant located in the centre . Would you like me to book a table for you ? ||| Curry Garden huwa ristorant Indjan għali li jinsab fiċ ċentru . Tixtieq li nibbukkja mejda għalik ?
I would like to find a restaurant called Curry Garden . ||| Nixtieq insib ristorant jismu Curry Garden .
Curry Garden is an Indian restaurant in the center . their postcode is cb21dp ||| Curry Garden huwa ristorant Indjan fiċ ċentru . il kodiċi postali tagħhom huwa cb21dp
could you please book me a table for 8 people at 14:30 on thursday ? ||| tista' jekk jogħġbok tibbukkjani mejda għal 8 persuni fil 14:30 tal Ħamis ?
Absolutely no problem . I've got you booked for 8 people on Thursday at 14:30 . Your reference number is 7UI8WCCP . The table will be held for you for 15 minutes . ||| Assolutament l ebda problema . Għandi bbukkejt għal 8 persuni nhar il Ħamis fis 14:30 . In numru ta' referenza tiegħek huwa 7UI8WCCP . Il mejda se tinżamm għalik għal 15 il minuta .
I'm also looking for places to go in town . The attraction should be in the south and should be in the type of college . ||| Qed infittex ukoll postijiet fejn immur fil belt . L attrazzjoni għandha tkun fin nofsinhar u għandha tkun fit tip ta 'kulleġġ .
I'm sorry . There are no colleges in the south . Would you like me to try another area ? ||| Jiddispjaċini . M'hemm l ebda kulleġġi fin nofsinhar . Tixtieq li nipprova qasam ieħor ?
How about a park then , I need the postcode and address . ||| Kif dwar park allura , għandi bżonn il kodiċi postali u l indirizz .
Wandlebury Country Park's address is Wandlebury Ring , Gog Magog Hills , Babraham . The postcode is cb223ae . Is there anything else I can help you with today ? ||| L indirizz tal Wandlebury Country Park huwa Wandlebury Ring , Gog Magog Hills , Babraham . Il kodiċi postali huwa cb223ae . Hemm xi ħaġa oħra li nista' ngħinek biha llum ?
Is there somewhere nearby to stay that is nice ? ||| Hemm xi mkien fil qrib biex toqgħod li huwa sabiħ ?
Would you like a guest house or a hotel ? ||| Tixtieq guest house jew lukanda ?
Nevermind , I don't need a place to stay but I do need a taxi to get between the two places please . ||| Nevermind , m'għandix bżonn ta' post fejn noqgħod imma għandi bżonn taxi biex nagħmel bejn iż żewġ postijiet jekk jogħġbok .
Ok , when do you want to travel ? ||| Ok , meta trid tivvjaġġa ?
I want to make it to Curry Garden by 14:30 . ||| Irrid nagħmilha Curry Garden sa 14:30 .
I have booked at taxi for you . It's a yellow tesla . It will get you to Curry Garden by 14:30 . The contact number is 07433043168 . ||| Jien ibbukkjajt fit taxi għalik . Huwa tesla isfar . Dan iwassalk għal Curry Garden sa 14:30 . In numru ta' kuntatt huwa 07433043168 .
That will do it for me . Thank you for your help . ||| Li se tagħmel dan għalija . Grazzi tal għajnuna tiegħek .
You're welcome . Enjoy your stay in Cambridge . Bye . ||| Ta 'xejn . Igawdu l waqfa tiegħek f'Cambridge . Bye .
I am planning a trip in Cambridge ||| Qed nippjana vjaġġ f'Cambridge
Great ! Is there a certain restaurant you're looking for ? ||| Kbir ! Hemm ċertu ristorant li qed tfittex ?
Moderate price in the East . and I need the phone number , address , and food type ||| Prezz moderat fil Lvant . u għandi bżonn in numru tat telefon , l indirizz , u t tip tal ikel
I have the curry prince which is indian food . Would you like that one ? ||| Għandi l prinċep tal curry li huwa ikel indian . Tixtieq dik ?
Yes . That would be fine . What is the address and phone number ? ||| Iva . Dan ikun tajjeb . X'inhu l indirizz u n numru tat telefon ?
The address is 451 Newmarket Road Fen Ditton and the phone number is 01223566388 . Would you like me to make a reservation for you ? ||| L indirizz huwa 451 Newmarket Road Fen Ditton u n numru tat telefon huwa 01223566388 . Tixtieq li nagħmel riserva għalik ?
not now . im also looking for a train from cambridge . ||| mhux issa . Jien infittex ukoll ferrovija minn Cambridge .
What is your destination ? ||| X'inhi d destinazzjoni tiegħek ?
I am going to leicester on Wednesday and need to be there by 09:15 . ||| Jien ser Leicester nhar l Erbgħa u jeħtieġ li nkun hemm sad 09:15 .
TR3093 departs at 07:21 and arrives by 09:06 . Would you like a ticket ? ||| TR3093 jitlaq fis 07:21 u jasal sad 09:06 . Tixtieq biljett ?
I don't need a ticket just yet , but I do need the travel time and price . ||| Għadni m'għandix bżonn biljett , imma għandi bżonn il ħin tal ivvjaġġar u l prezz .
Duration is 105 minutes and costs 37 . 80 pounds ||| It tul huwa 105 minuti u jiswa 37 . 80 liri
Please find a restaurant called stazione restaurant and coffee bar ||| Jekk jogħġbok sib ristorant imsejjaħ stazione restorant u bar tal kafè
That is an Italian restaurant in the center of town in the expensive price range . Could you like a reservation ? ||| Dan huwa restorant Taljan fiċ ċentru tal belt fil firxa ta 'prezzijiet għaljin . Tista' tixtieq prenotazzjoni ?
I WOULD like a reservation for 2 people at 20:00 on Sunday , please . ||| Nixtieq prenotazzjoni għal 2 persuni fit 20:00 tal Ħadd , jekk jogħġbok .
Yes your booking was successful and the reference number is DXPL9FU2 . ||| Iva l prenotazzjoni tiegħek kienet ta' suċċess u n numru ta' referenza huwa DXPL9FU2 .
Thank you for the reference number . I'm also looking for a place called The Junction . ||| Grazzi għan numru ta' referenza . Qed infittex ukoll post imsejjaħ The Junction .
Ah , that's a great theatre in the south part of town . Located on clifton way , phone is 01223511511 . ||| Ah , dak huwa teatru kbir fin naħa t'isfel tal belt . Jinsabu fuq Clifton Way , it telefon huwa 01223511511 .
Is there an entrance fee ? ||| Hemm ħlas għad dħul ?
The entrance fee is unknown . Can I help you with anything else today ? ||| Il miżata tad dħul mhix magħrufa . Nista ngħinek b xi ħaġa oħra llum ?
I would also like a taxi to arrive at the restaurant on time . Can I have the taxis phone number and vehicle type ? ||| Nixtieq ukoll taxi biex tasal fir ristorant fil ħin . Jista' jkolli n numru tat telefon tat taxis u t tip ta' vettura ?
Where would you like the taxi to pick you up ? ||| Fejn tixtieq it taxi jiġbdek ?
The junction , please . ||| Il junction , jekk jogħġbok .
What is your destination and what time do you want to leave ? ||| X'inhi d destinazzjoni tiegħek u x'ħin trid titlaq ?
My destination is Stazione Restaurant and Coffee Bar . I need to arrive by 20:00 . ||| Id destinazzjoni tiegħi hija Stazione Restaurant u Coffee Bar . Għandi bżonn nasal sa 20:00 .
Your taxi has been booked . Please look for a grey tesla . The contact number is 07362737220 . . ||| It taxi tiegħek ġiet ibbukkjata . Jekk jogħġbok fittex tesla griża . In numru ta' kuntatt huwa 07362737220 . .
Thank you . I have written the information down . I appreciate you gathering the details . ||| Grazzi . Jien ktibt l informazzjoni . Napprezza li tiġbor id dettalji .
Is there anything else I can help you with today ? ||| Hemm xi ħaġa oħra li nista' ngħinek biha llum ?
No that is it , thank you ! ||| Le hekk hu , grazzi !
Hope you have a great trip . Good bye . ||| Nispera li jkollok vjaġġ mill isbaħ . Good bye .
I would like to see some type of entertainment while visiting cambridge . ||| Nixtieq nara xi tip ta divertiment waqt li nżur Cambridge .
We have five entertainment venues , do you have an area that you want me to search in ? ||| Għandna ħames postijiet tad divertiment , għandek xi żona li tridni nfittex fiha ?
If you could find me a good one , just tell me the area and I need a postcode ||| Jekk issibni waħda tajba , għidli ż żona u għandi bżonn kodiċi postali
Whale of a Time is a great place ! It is in the West and the post code is cb238el . Do you need more information ? ||| Whale of a Time huwa post mill aqwa ! Huwa fil Punent u l kodiċi postali huwa cb238el . Għandek bżonn aktar informazzjoni ?
Yes , I also need a restaurant ina mdoerate range that serve modern european food . ||| Iva , għandi bżonn ukoll restorant f'firxa mdoerate li jservi ikel ewropew modern .
We've got 3 places serving modern european food in town , 2 are in the city centre and one in the south . Do you have a preference ? ||| Għandna 3 postijiet li jservu ikel ewropew modern fil belt , 2 jinsabu fiċ ċentru tal belt u wieħed fin nofsinhar . Għandek preferenza ?
How about the center ? I need a reservation for Wednesday for 1 person at 14:40 . ||| Kif dwar iċ ċentru ? Għandi bżonn prenotazzjoni għall Erbgħa għal persuna waħda fis 14:40 .
We have 2 in the center , De Luca Cucina and Bar , and Riverside Brasserie , they are great eats . ||| Għandna 2 fiċ ċentru , De Luca Cucina u Bar , u Riverside Brasserie , huma kbar jieklu .
I will take a reservation at the Riverside Brasserie for 1 person at 14:30 on Wednesday . ||| Se nieħu riserva fir Riverside Brasserie għal persuna 1 fl 14:30 nhar l Erbgħa .
Booked . The table will be reserved for 15 minutes . Reference number: 55VU3FCX . ||| Ibbukkjat . Il mejda tkun riservata għal 15 il minuta . Numru ta' referenza: 55VU3FCX .
Excellent . Thanks for all the help ! ||| Eċċellenti . Grazzi għall għajnuna kollha !
You are welcome . Enjoy ! ||| Ta 'xejn . Igawdu !
I'm looking for a train departing from cambridge on wednesday . ||| Qed infittex ferrovija li titlaq minn Cambridge nhar l Erbgħa .
Okay . What is your destination ? ||| Okay . X'inhi d destinazzjoni tiegħek ?
I am attending a seminar in Ely . ||| Qed nattendi seminar f'Ely .
There are 10 trains on that route starting at 05:50 . To make sure I book the right one what time do you need to arrive ? ||| Hemm 10 ferroviji fuq dik ir rotta li jibdew fil 05:50 . Biex niżgura li nibbukkja dak it tajjeb x'ħin trid tasal ?
Well , I just want to leave after 9:15 . ||| Ukoll , irrid nitlaq wara d 9:15 .
Alright , there are 8 options . The earliest train after 09:15 leaves at 09:50 and the latest at 23:50 , each takes 17 minutes . Do you have a preference ? ||| Tajjeb , hemm 8 għażliet . L ewwel ferrovija wara d 09:15 titlaq fid 09:50 u l aktar tard fl 23:50 , kull waħda tieħu 17 il minuta . Għandek preferenza ?
The 9:50 train will be fine . I'll need to book for 6 people . Can I please have the reference number ? ||| Il ferrovija tad 9:50 se tkun tajba . Ikolli bżonn nibbukkja għal 6 persuni . Nista' jekk jogħġbok ikolli n numru ta' referenza ?
Your tickets have been booked . Your total is 26 . 4 GBP and will be payable at the station . Your confirmation is 04Q2G0GU . ||| Il biljetti tiegħek ġew ibbukkjati . It total tiegħek huwa ta' 26 . 4 GBP u se jitħallas fl istazzjon . Il konferma tiegħek hija 04Q2G0GU .
Great I also need a moderate priced place to stay with free wifi . ||| Kbir Għandi bżonn ukoll post bi prezz moderat biex noqgħod b'wifi b'xejn .
That gives us about 17 options . Is there a certain area in the city you prefer to stay in ? ||| Dan jagħtina madwar 17 il għażla . Hemm ċertu żona fil belt li tippreferi toqgħod fiha ?
I definitely need it to include free parking . ||| Żgur għandi bżonnha biex tinkludi parkeġġ b'xejn .
What area of town do you prefer ? ||| Liema żona tal belt tippreferi ?
I don't have an area I prefer , can you recommend something ? ||| M'għandix żona li nippreferi , tista' tirrakkomanda xi ħaġa ?
I recommend archway house . It's a guesthouse moderately priced located on the north side . Will that work for you ? ||| Nirrakkomanda dar archway . Hija guesthouse bi prezz moderat li tinsab fuq in naħa tat tramuntana . Dan se jaħdem għalik ?
Yes , that should work . Can you book it for me ? ||| Iva , dan għandu jaħdem . Tista tibbukkjah għalija ?
Sure . How many guests and how many nights ? ||| Żgur . Kemm mistednin u kemm iljieli ?
It will be the same group of people that are on the train . I'll need it to start on Sunday and go for 3 nights . ||| Se jkun l istess grupp ta nies li jkunu fuq il ferrovija . Ikolli bżonnha biex tibda nhar il Ħadd u mmur għal 3 iljieli .
I successfully booked your stay for 6 people at Archway House beginning Sunday and lasting for 3 days . Your reference number is HM3ORBHM . Can I do anything else for you ? ||| I bbukkejt b'suċċess iż żjara tiegħek għal 6 persuni f'Archway House li tibda l Ħadd u ddum għal 3 ijiem . In numru ta' referenza tiegħek huwa HM3ORBHM . Nista 'nagħmel xi ħaġa oħra għalik ?
That is all . Thanks so much ! ||| Dak kollox . Grazzi hafna !
Will you need a taxi ? Or anymore info on your stay ? ||| Ikollok bżonn taxi ? Jew aktar informazzjoni dwar il waqfa tiegħek ?
No , that's all I need today . Thanks , and goodbye ! ||| Le , dak kollu li għandi bżonn illum . Grazzi , u addio !
Thank you so much for calling . Please reach out if you need additional assistance . Goodbye . ||| Grazzi ħafna talli ċempilt . Jekk jogħġbok ikkuntattja jekk għandek bżonn għajnuna addizzjonali . Adieu .
Can you help me find a college ? ||| Tista tgħinni nsib kulleġġ ?
Sure ! We have 18 colleges in Cambridge . Is there a particular area of town you'd like to be in ? ||| Żgur ! Għandna 18 il kulleġġ f'Cambridge . Hemm xi żona partikolari tal belt li tixtieq tkun fiha ?
I'd like to stay close to the action in the centre of town . ||| Nixtieq nibqa' viċin l azzjoni fiċ ċentru tal belt .
May I recommend Christ's College ? It is in the centre of town and there is no entrance fee . ||| Nista nirrakkomanda l Kulleġġ ta Kristu ? Huwa fiċ ċentru tal belt u m'hemm l ebda ħlas tad dħul .
i would love to have the phone number , address , and postcode . ||| nixtieq li jkolli n numru tat telefon , l indirizz u l kodiċi postali .
Yes their phone number is 01223334900 and their address is saint Andrew's street and their postcode cb23bu . Anything else ? ||| Iva n numru tat telefon tagħhom huwa 01223334900 u l indirizz tagħhom huwa triq Sant Andrija u l kodiċi postali tagħhom cb23bu . Xi ħaġa oħra ?
Yes , I also need a train for sunday . ||| Iva , għandi bżonn ukoll ferrovija għall Ħadd .
I need more information . Where will you be departing from , and what is your destination ? ||| Għandi bżonn aktar informazzjoni . Minn fejn se titlaq , u x'inhi d destinazzjoni tiegħek ?
I'll be coming into Cambridge from Bishops Stortford , and I want to arrive around 10:15 . ||| Se niġi f'Cambridge minn Bishops Stortford , u rrid nasal għall ħabta tal 10:15 .
Train TR4803 would meet your criteria . Can I book something for you ? ||| Il ferrovija TR4803 tissodisfa l kriterji tiegħek . Nista' nibbukkja xi ħaġa għalik ?
Yes please book that for me . ||| Iva jekk jogħġbok ibbukkja dik għalija .
How many people would you like to book for ? ||| Għal kemm nies tixtieq tibbukkja ?
Actually , no , I just need more information . You've given me the train ID . I need the travel time and ticket price . ||| Fil fatt , le , għandi bżonn biss aktar informazzjoni . Int tajtni l ID tal ferrovija . Għandi bżonn il ħin tal ivvjaġġar u l prezz tal biljett .
It's a 38 minute ride , and tickets are 8 . 08 Pounds . Can I help you with anything else ? ||| Huwa rikba ta '38 minuta , u l biljetti huma 8 . 08 Liri . Nista ngħinek b xi ħaġa oħra ?
Nope . I do not want to book or anything just looking into it . Bye . Thanks . ||| Le . Ma rridx nibbukkja jew xi ħaġa biss inħares fiha . Bye . Grazzi .
Glad to be of service today . Goodbye . ||| Ferħan li tkun ta' servizz illum . Adieu .
Can you help me find a train leaving thursday departing from london liverpool street ? ||| Tista' tgħinni nsib ferrovija li titlaq il Ħamis u titlaq minn London Liverpool Street ?
I have 10 trains leaving at this day and time with Cambridge as the destination . What will your approximate departure time be ? ||| Għandi 10 ferroviji jitilqu f'dan il jum u l ħin b'Cambridge bħala d destinazzjoni . X'se jkun il ħin approssimattiv tat tluq tiegħek ?
I don't have a preference but I do need to be in Cambridge by 15:00 . ||| M'għandix preferenza imma għandi bżonn inkun Cambridge sal 15:00 .
the TR1268 will get you there by 13:07 , how many tickets ? ||| it TR1268 jasal hemm sa 13:07 , kemm il biljetti ?
What is the price of the ticket and departure time ? ||| X'inhu l prezz tal biljett u l ħin tat tluq ?
The departure time is 11:39 and the cost will be 16 . 60 pounds . ||| Il ħin tat tluq huwa 11:39 u l ispiża se tkun 16 . 60 liri .
Thanks . I also need to find a guesthouse with free wifi . ||| Grazzi . Għandi bżonn ukoll insib guesthouse b'wifi b'xejn .
I can also assist you with finding a guest house . Does the train fit your needs and would you like to book tickets for that ? ||| Nista' wkoll ngħinek biex issib guest house . Il ferrovija taqbel mal bżonnijiet tiegħek u tixtieq tibbukkja l biljetti għal dan ?
No tickets for the train . I would like a guesthouse in the east that is expensive , please . ||| Ebda biljetti għall ferrovija . Nixtieq guesthouse fil Lvant li tiswa ħafna flus , jekk jogħġbok .
I do not have any expensive guesthouses in the east offering free wifi . ||| M'għandi l ebda guesthouses għaljin fil Lvant li joffru wifi b'xejn .
How about in the cheap price range instead ? ||| Kif dwar fil firxa tal prezz irħas minflok ?
I have the allenbell located at 517a coldham lane . Would you like reservations ? ||| Għandi l allenbell li jinsab f'517a coldham lane . Tixtieq riżervi ?
Yes , could you book it for 5 people for 3 nights starting thursday ? ||| Iva , tista' tibbukkjaha għal 5 persuni għal 3 iljieli li jibdew il Ħamis ?
Booking was successful . Reference number is : Q10RYGHF . ||| Il prenotazzjoni kienet suċċess . Numru ta ' referenza huwa : Q10RYGHF .
Thanks ! Have a wonderful evening . Goodbye . ||| Grazzi ! Ikollkom serata mill isbaħ . Adieu .
Thank you for using our service today . Glad I was able to help have a good day . ||| Grazzi talli użajt is servizz tagħna llum . Ferħan li stajt ngħin biex ikollna ġurnata tajba .
Hi , I'm looking for a hotel by the name of Acorn Guest House . ||| Hi , qed infittex lukanda bl isem ta Acorn Guest House .
Sure , what would you like to know about it ? ||| Żgur , x'tixtieq tkun taf dwarha ?
I would like to know if it is available for 8 people for 4 nights starting Saturday ||| Nixtieq inkun naf jekk huwiex disponibbli għal 8 persuni għal 4 iljieli li jibdew is Sibt
Booking was successful . Reference number is : ZZPP7K9D . Is there anything else I can help you with today ? ||| Il prenotazzjoni kienet suċċess . Numru ta' referenza huwa: ZZPP7K9D . Hemm xi ħaġa oħra li nista' ngħinek biha llum ?
Thank you . I now need help with a train from Cambridge to birmingham new street , please . ||| Grazzi . Issa għandi bżonn għajnuna b'ferrovija minn Cambridge għal triq il ġdida ta' Birmingham , jekk jogħġbok .
Absolutely . What day would you like , and when would you like to depart ? ||| Assolutament . Liema jum tixtieq , u meta tixtieq titlaq ?
The train should leave after 12:30 and should leave on friday . ||| Il ferrovija għandha titlaq wara 12:30 u għandha titlaq nhar il Ġimgħa .
There are 11 entries here . Shall I book one of these trains ? ||| Hemm 11 il entrata hawn . Għandi nibbukkja waħda minn dawn il ferroviji ?
Yes please , any of them will do . I just need the booking for 8 people . ||| Iva jekk jogħġbok , kull wieħed minnhom se jagħmel . Għandi bżonn biss il booking għal 8 persuni .
I booked you on train TR2716 and your reference number is FNNVMU8Z . ||| Ibbukkejtek fuq il ferrovija TR2716 u n numru ta' referenza tiegħek huwa FNNVMU8Z .
Ok great , thanks for your help . ||| Ok kbir , grazzi għall għajnuna tiegħek .
May I help with anything else ? ||| Nista 'ngħin f'xi ħaġa oħra ?
No , I think that's all for now . Thanks so much ! ||| Le , naħseb li dak kollu għalissa . Grazzi hafna !
You are welcome , have a great day ||| Int merħba , il ġurnata tajba
I'm looking for a museum in the east to visit . ||| Qed infittex mużew fil Lvant biex inżur .
We have four museums in the east area , I just went to the saint barnabas press gallery and they have new exhibits . Would you like more information on them ? ||| Għandna erba mużewijiet fiż żona tal Lvant , għadni kemm mort fil gallerija tal istampa ta San Barnaba u għandhom esebiti ġodda . Tixtieq aktar informazzjoni dwarhom ?
Sounds wonderful ! Can you give me their postcode ? ||| Ħsejjes mill isbaħ ! Tista' tagħtini l kodiċi postali tagħhom ?
Their postcode is cb13ew . Can I help you with anything else today ? ||| Il kodiċi postali tagħhom huwa cb13ew . Nista ngħinek b xi ħaġa oħra llum ?
I'm also looking for a restaurant in the east part of town in the moderate price range . ||| Qed infittex ukoll restorant fil parti tal lvant tal belt fil medda ta 'prezzijiet moderata .
There are 2 indian restaurants and one italian . Which would you prefer ? ||| Hemm 2 ristoranti indiani u wieħed Taljan . Liema tippreferi ?
give me the address of the one you recommend ||| agħtini l indirizz ta dak li inti tirrakkomanda
I recommend the rajmahal , they are t 7 Barnwell Road Fen Ditton , postal is cb58rg , can i assist with anything else ? ||| Nirrakkomanda r rajmahal , huma t 7 Barnwell Road Fen Ditton , postali huwa cb58rg , nista ngħin b'xi ħaġa oħra ?
Not at this time , thank you . ||| Mhux f'dan iż żmien , grazzi .
Thank you for calling . Please let us know if we can assist you in the future . Goodbye . ||| Grazzi talli ċempilt . Jekk jogħġbok għarrafna jekk nistgħux ngħinuk fil futur . Adieu .
Find me a restaurant called cocum ||| Sibni restorant imsejjaħ cocum
Cocum is an expensive Indian restaurant on the westside . Do you need to know more ? ||| Cocum huwa ristorant Indjan għali fuq in naħa tal punent . Għandek bżonn tkun taf aktar ?
could tou please help me book a table for 6 people at 11:00 on tuesday ||| Tista' jekk jogħġbok għinni nibbukkja mejda għal 6 persuni fil 11:00 tat Tlieta
Booking was successful . The table will be reserved for 15 minutes . Reference number is : MOUYP9ZE ||| Il prenotazzjoni kienet suċċess . Il mejda tkun riservata għal 15 il minuta . Numru ta' referenza huwa: MOUYP9ZE
I would like to get a train as well . ||| Nixtieq nieħu ferrovija wkoll .
Certainly ! What station will you be departing from ? ||| Żgur ! Minn liema stazzjon se tkun qed titlaq ?
We will be departing from Broxbourne on Tuesday to arrive by 8:15 in Cambridge . ||| Se nitilqu minn Broxbourne nhar it Tlieta biex naslu sat 8:15 Cambridge .
There are two trains here . Shall I book one of them ? ||| Hemm żewġ ferroviji hawn . Għandi nibbukkja waħda minnhom ?
Yes , please select one and book it for 6 people . I'll need the reference number . ||| Iva , jekk jogħġbok agħżel waħda u ibbukkjaha għal 6 persuni . Ikolli bżonn in numru ta' referenza .
The tickets have been booked and the reference number is NBMRQ55J . ||| Il biljetti ġew ibbukkjati u n numru ta' referenza huwa NBMRQ55J .
Thanks , that's it for me . Bye bye ! ||| Grazzi , dak hu għalija . Ċaw ċaw !
You are welcome . Have a great day . ||| Ta 'xejn . Il ġurnata t tajba .
I would like to find a theatre in town . ||| Nixtieq insib teatru fil belt .
sure , there are 5 options for you ||| żgur , hemm 5 għażliet għalik
Can you suggest one for me ? I would like to know their postcode and entrance fee please . ||| Tista' tissuġġerixxi waħda għalija ? Nixtieq inkun naf il kodiċi postali tagħhom u l miżata tad dħul jekk jogħġbok .
Sure how about the Cambridge Arts Theatre . It's in the center of town and its postcode is cb23pj , but there is no entrance fee information listed . ||| Sure kif dwar il Cambridge Arts Theatre . Huwa fiċ ċentru tal belt u l kodiċi postali tiegħu huwa cb23pj , iżda m'hemm l ebda informazzjoni dwar il ħlas tad dħul elenkat .
I also need a train to Cambridge , on Wednesday please . ||| Għandi bżonn ukoll ferrovija lejn Cambridge , nhar l Erbgħa jekk jogħġbok .
Sure , where will you be departing from ? ||| Żgur , minn fejn se titlaq ?
I'll be departing from broxbourne . I'd like to arrive by 12:30 . ||| Jien ser nitlaq minn Broxbourne . Nixtieq nasal sa 12:30 .
TR1819 will arrive in Cambridge at 11:32 . Would you like a ticket on that ? ||| TR1819 se jasal Cambridge fil 11:32 . Tixtieq biljett fuq dak ?
Yes , that would be great . I'll need tickets for 5 people . Can I have the reference number , please ? ||| Iva , dan ikun kbir . Ikolli bżonn biljetti għal 5 persuni . Jista' jkolli n numru ta' referenza , jekk jogħġbok ?
Booking was successful , the total fee is 89 . 5 GBP payable at the station . Reference number is : L9BMZLS8 . ||| Il prenotazzjoni kienet ta' suċċess , il ħlas totali huwa ta' 89 . 5 GBP pagabbli fl istazzjon . In numru ta' referenza huwa: L9BMZLS8 .
Thank you that is all I need , good bye . ||| Grazzi dak kollu li għandi bżonn , good bye .
Thank you good bye ||| Grazzi good bye
I need to take a train out of cambridge after 19:00 please . ||| Għandi bżonn nieħu ferrovija barra minn Cambridge wara s 19:00 jekk jogħġbok .
how about the TR1006 , it leaves at 19:00 . ||| kif dwar il TR1006 , jitlaq f'19:00 .
I need to travel on tuesday to london kings cross . ||| Għandi bżonn nivvjaġġa nhar it Tlieta għal London Kings Cross .
TR4125 leaves cambridge for london kings cross on tuesday at 19:00 . Would you like me to book it for you ? ||| TR4125 iħalli Cambridge għal London Kings Cross nhar it Tlieta fis 19:00 . Tixtieq li nibbukkjah għalik ?
Yes please for 6 people . ||| Iva jekk jogħġbok għal 6 persuni .
The booking was successful . Your reference number is EZNVJAPG . The cost is 141 . 6 pounds . Do you need anything else ? ||| Il prenotazzjoni kienet suċċess . In numru ta' referenza tiegħek huwa EZNVJAPG . L ispiża hija 141 . 6 liri . Għandek bżonn xi ħaġa oħra ?
Yes , I'm looking for a restaurant . I believe it's called Curry Prince . ||| Iva , qed infittex ristorant . Nemmen li jissejjaħ Curry Prince .
I have found the restaurant ; would you like for me to book a table for you ? ||| sibt ir ristorant ; tixtieq li nibbukkja mejda għalik ?
